                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.6243,                 1.0347,                 1.1205,                0.78704,                0.66667,                0.75302,                0.42662,                  1.453,                0.84909,                 1.0476,               0.006964,               0.006964,               0.006964
                     94,                 1.6223,                 1.0284,                  1.123,                0.80146,                0.64922,                0.74711,                0.42701,                 1.4589,                 0.8512,                 1.0473,               0.006931,               0.006931,               0.006931
                     95,                 1.5873,                 1.0057,                 1.1146,                0.81308,                 0.6312,                 0.7397,                0.41931,                 1.4553,                0.85886,                 1.0505,               0.006898,               0.006898,               0.006898
                     96,                 1.6101,                 1.0133,                 1.1254,                0.81493,                0.65139,                 0.7538,                0.43119,                 1.4357,                0.83684,                 1.0461,               0.006865,               0.006865,               0.006865
                     97,                 1.6065,                 1.0293,                 1.1175,                0.79943,                0.66667,                0.74883,                0.43256,                 1.4194,                0.84279,                 1.0408,               0.006832,               0.006832,               0.006832
                     98,                  1.608,                 1.0225,                  1.123,                0.79152,                0.65678,                0.75276,                0.43306,                 1.4152,                0.83594,                  1.038,               0.006799,               0.006799,               0.006799
                     99,                 1.5931,                 1.0096,                 1.1151,                0.80384,                0.66456,                0.75981,                 0.4399,                 1.4025,                0.82071,                 1.0345,               0.006766,               0.006766,               0.006766
                    100,                 1.5828,                 1.0116,                 1.1127,                 0.8224,                0.66173,                0.76438,                0.44256,                 1.3962,                0.82187,                 1.0273,               0.006733,               0.006733,               0.006733
                    101,                 1.5763,                0.99452,                  1.112,                0.83403,                0.65918,                0.76479,                0.44104,                 1.4195,                0.81782,                 1.0359,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.5637,                0.98247,                 1.1025,                0.82135,                0.67475,                0.76929,                0.44524,                 1.4081,                0.80362,                 1.0321,               0.006667,               0.006667,               0.006667
                    103,                 1.5834,                 0.9997,                 1.1101,                0.80593,                0.67475,                0.76404,                0.44322,                 1.3989,                 0.8172,                  1.033,               0.006634,               0.006634,               0.006634
                    104,                  1.564,                0.98372,                 1.0989,                0.83439,                0.66622,                0.76617,                0.44609,                 1.3888,                0.80281,                 1.0273,               0.006601,               0.006601,               0.006601
                    105,                 1.5682,                0.99482,                 1.0992,                0.83348,                 0.6761,                 0.7762,                 0.4531,                 1.3873,                0.79316,                 1.0213,               0.006568,               0.006568,               0.006568
                    106,                 1.5506,                 0.9784,                 1.0935,                0.82454,                0.67206,                 0.7724,                0.44984,                 1.3857,                0.79593,                 1.0237,               0.006535,               0.006535,               0.006535
                    107,                 1.5328,                 0.9615,                 1.0882,                0.82443,                0.69272,                0.78801,                0.45354,                 1.3843,                0.78404,                 1.0262,               0.006502,               0.006502,               0.006502
                    108,                 1.5474,                0.97865,                 1.0935,                0.81874,                0.67776,                0.77417,                0.45443,                 1.3701,                0.78465,                 1.0225,               0.006469,               0.006469,               0.006469
                    109,                 1.5267,                0.95328,                 1.0843,                0.80665,                0.68782,                0.77962,                0.45605,                 1.3577,                0.77775,                 1.0164,               0.006436,               0.006436,               0.006436
                    110,                 1.5362,                0.95956,                 1.0924,                0.83469,                0.67822,                0.78354,                0.46002,                 1.3623,                0.77998,                 1.0183,               0.006403,               0.006403,               0.006403
                    111,                 1.5178,                0.94548,                 1.0778,                0.82388,                0.68149,                0.78449,                0.46588,                 1.3479,                0.76842,                   1.01,                0.00637,                0.00637,                0.00637
                    112,                 1.5231,                0.96242,                 1.0855,                0.83393,                0.68374,                0.78764,                0.46685,                 1.3483,                0.77223,                 1.0121,               0.006337,               0.006337,               0.006337
                    113,                  1.514,                0.94987,                 1.0808,                0.83481,                0.67969,                0.78572,                0.46819,                 1.3512,                0.77502,                  1.014,               0.006304,               0.006304,               0.006304
                    114,                 1.5067,                0.94308,                 1.0798,                0.84066,                0.69447,                0.79271,                0.46912,                 1.3444,                0.76209,                 1.0115,               0.006271,               0.006271,               0.006271
                    115,                 1.5168,                0.95005,                  1.084,                0.83497,                0.69856,                0.79303,                0.47792,                  1.318,                0.75182,                 1.0022,               0.006238,               0.006238,               0.006238
                    116,                 1.5015,                0.93183,                 1.0793,                0.82399,                0.70455,                0.79681,                0.47673,                 1.3254,                0.75244,                  1.004,               0.006205,               0.006205,               0.006205
                    117,                 1.4948,                 0.9252,                 1.0762,                0.83133,                0.70889,                0.80026,                0.48073,                  1.322,                0.74781,                 1.0028,               0.006172,               0.006172,               0.006172
                    118,                 1.4891,                0.92168,                 1.0734,                0.84869,                0.69407,                 0.7967,                0.47657,                  1.331,                0.74496,                 1.0087,               0.006139,               0.006139,               0.006139
                    119,                 1.4744,                0.91905,                 1.0688,                 0.8481,                0.69452,                0.80001,                0.48173,                 1.3124,                0.73802,                0.99994,               0.006106,               0.006106,               0.006106
                    120,                 1.4973,                0.92917,                 1.0752,                0.86109,                0.69061,                0.80052,                0.48161,                 1.3038,                0.73225,                0.99728,               0.006073,               0.006073,               0.006073
